,Marketing_name,Memory,Grade,Price
1174,iPhone 7 Plus,32GB,B,17700
1175,iPhone 8 Plus,128GB,B,34000
1176,iPhone X,64GB,B,22800
1177,iPhone 13 Pro,128GB,B,79500
1178,iPhone 14 Plus,128GB,B,85300
1179,iPhone 14 Plus,512GB,B,97900
1180,iPhone 8 Plus,64GB,B,18800
1181,iPhone 14 Pro Max,128GB,B,120600
1182,iPhone 13 mini,128GB,B,54800
1183,iPhone 11,64GB,B,31800
1184,iPhone 7 Plus,128GB,B,18000
1185,iPhone 14 Pro Max,256GB,B,130800
1186,iPhone 13 Pro Max,128GB,B,92800
1187,iPhone SE (第 3 世代),64GB,B,39800
1188,iPhone SE (第 3 世代),64GB,B,39800
1189,iPhone 13 mini,128GB,B,54800
1190,iPhone 14 Pro,256GB,B,109800
1191,iPhone 14 Pro,128GB,B,95800
1192,iPhone 13 mini,128GB,B,54800
1193,iPhone 11,64GB,B,31800
1194,iPhone 13,128GB,B,60800
1195,iPhone SE (第 3 世代),64GB,B,39800
1196,iPhone 13 Pro,256GB,B,85800
1197,iPhone 6s Plus,128GB,B,14000
1198,iPhone 13 mini,128GB,B,54800
1199,iPhone 13,128GB,B,60800
1200,iPhone 11,128GB,B,36800
1201,iPhone 13 mini,128GB,B,54800
1202,iPhone SE (第 3 世代),64GB,B,39800
1203,iPhone 13 mini,128GB,B,54800
1204,iPhone 13 mini,128GB,B,54800
1205,iPhone SE (第 3 世代),64GB,B,39800
1206,iPhone 13 mini,128GB,B,54800
1207,iPhone SE (第 3 世代),64GB,B,39800
1208,iPhone SE (第 3 世代),64GB,B,39800
1209,iPhone 14 Plus,128GB,B,85300
1210,iPhone SE (第 3 世代),64GB,B,39800
1211,iPhone 13 Pro,256GB,B,85800
1212,iPhone 14 Pro,256GB,B,109800
1213,iPhone 13,128GB,B,60800
1214,iPhone 13,128GB,B,60800
1215,iPhone 14,128GB,B,77300
1216,iPhone 13,128GB,B,60800
1217,iPhone 13 Pro,512GB,B,91800
1218,iPhone 14 Pro,512GB,B,116300
1219,iPhone 14 Pro,256GB,B,109800
1220,iPhone 13,128GB,B,60800
1221,iPhone 13,128GB,B,60800
1222,iPhone 11 Pro,64GB,B,39800
1223,iPhone 14 Plus,256GB,B,89800
