,Marketing_name,Memory,Grade,Price
1247,iPhone SE (第 3 世代),64GB,B,39800
1248,iPhone SE (第 3 世代),64GB,B,39800
1249,iPhone SE (第 3 世代),64GB,B,39800
1250,iPhone SE (第 3 世代),64GB,B,39800
1251,iPhone 13 mini,128GB,B,54800
1252,iPhone SE (第 3 世代),64GB,B,39800
1253,iPhone SE (第 3 世代),64GB,B,39800
1254,iPhone SE (第 3 世代),64GB,B,39800
1255,iPhone SE (第 3 世代),64GB,B,39800
1256,iPhone 14 Pro,128GB,B,95800
1257,iPhone 12 Pro,256GB,B,62800
1258,iPhone 13 Pro,128GB,B,79500
1259,iPhone 14 Pro,128GB,B,95800
1260,iPhone 13 Pro Max,128GB,B,92800
1261,iPhone 13,128GB,B,60800
1262,iPhone 14,128GB,B,77300
1263,iPhone SE (第 3 世代),64GB,B,39800
1264,iPhone XS Max,256GB,B,39800
1265,iPhone XR,128GB,B,27800
1266,iPhone 11 Pro Max,64GB,B,52300
1267,iPhone 13 Pro,256GB,B,85800
1268,iPhone 13,128GB,B,60800
1269,iPhone 12 Pro Max,128GB,B,79800
1270,iPhone 11 Pro,64GB,B,39800
1271,iPhone 13 Pro Max,256GB,B,101800
1272,iPhone 13 mini,128GB,B,54800
1273,iPhone 13 mini,128GB,B,54800
1274,iPhone 13 Pro,128GB,B,79500
1275,iPhone 13,128GB,B,60800
1276,iPhone 11,64GB,B,31800
1277,iPhone 14 Pro Max,256GB,B,130800
1278,iPhone XR,64GB,B,24800
1279,iPhone 13 Pro,256GB,B,85800
1280,iPhone 6s,64GB,B,11000
1281,iPhone 6s,64GB,B,11000
1282,iPhone 13 mini,128GB,B,54800
1283,iPhone 12 Pro Max,128GB,B,79800
1284,iPhone 14,128GB,B,77300
1285,iPhone 14 Pro,256GB,B,109800
1286,iPhone XS Max,256GB,B,39800
1287,iPhone 13 Pro,256GB,B,85800
1288,iPhone 14,128GB,B,77300
1289,iPhone 14,128GB,B,77300
1290,iPhone 13 Pro,256GB,B,85800
1291,iPhone 15,128GB,B,97300
1292,iPhone SE (第 3 世代),64GB,B,39800
1293,iPhone 6s Plus,64GB,B,13000
1294,iPhone 7 Plus,32GB,B,17700
1295,iPhone 13 Pro,256GB,B,85800
1296,iPhone SE (第 3 世代),128GB,B,44800
1297,iPhone SE (第 3 世代),64GB,B,39800
1298,iPhone 13 Pro Max,512GB,B,110800
1299,iPhone 13 Pro,128GB,B,79500
1300,iPhone 13,128GB,B,60800
1301,iPhone 14 Pro Max,256GB,B,130800
1302,iPhone XS Max,256GB,B,39800
1303,iPhone 8,64GB,B,14700
1304,iPhone 13,128GB,B,60800
1305,iPhone 8,64GB,B,14700
1306,iPhone SE (第 3 世代),64GB,B,39800
1307,iPhone 14 Pro,128GB,B,95800
1308,iPhone 8,64GB,B,14700
1309,iPhone 8,256GB,B,19500
1310,iPhone 8,256GB,B,19500
1311,iPhone 8,64GB,B,14700
1312,iPhone 8,64GB,B,14700
1313,iPhone 13,512GB,B,75800
1314,iPhone SE (第 3 世代),128GB,B,44800
1315,iPhone SE (第 3 世代),128GB,B,44800
1316,iPhone SE (第 3 世代),64GB,B,39800
1317,iPhone 11,128GB,B,36800
1318,iPhone 6s,64GB,B,11000
1319,iPhone 13,128GB,B,60800
1320,iPhone 11,64GB,B,31800
1321,iPhone 12 Pro,256GB,B,62800
1322,iPhone 14 Pro,128GB,B,95800
1323,iPhone 8,64GB,B,14700
1324,iPhone SE (第 3 世代),64GB,B,39800
1325,iPhone 7,128GB,B,11500
1326,iPhone 13,128GB,B,60800
1327,iPhone 8,64GB,B,14700
1328,iPhone SE (第 2 世代),128GB,B,26800
1329,iPhone 11 Pro Max,256GB,B,57300
1330,iPhone 13 Pro,128GB,B,79500
1331,iPhone 13 mini,128GB,B,54800
1332,iPhone 12 Pro Max,256GB,B,83800
1333,iPhone 14,128GB,B,77300
1334,iPhone 13 mini,128GB,B,54800
1335,iPhone 15,128GB,B,97300
1336,iPhone 14 Pro,128GB,B,95800
1337,iPhone 13 Pro Max,256GB,B,101800
1338,iPhone 13,128GB,B,60800
1339,iPhone XR,64GB,B,24800
1340,iPhone 13,512GB,B,75800
1341,iPhone 14 Pro,512GB,B,116300
1342,iPhone 14,256GB,B,85800
1343,iPhone 12 mini,64GB,B,32800
1344,iPhone 12 mini,64GB,B,32800
1345,iPhone 13 mini,512GB,B,74800
1346,iPhone XS,256GB,B,30800
1347,iPhone 8,256GB,B,19500
1348,iPhone XS,512GB,B,35300
1349,iPhone XR,256GB,B,30800
1350,iPhone XS Max,512GB,B,46300
1351,iPhone 8 Plus,256GB,B,22800
1352,iPhone 8,64GB,B,14700
1353,iPhone 7,32GB,B,9800
1354,iPhone SE (第 2 世代),128GB,B,26800
1355,iPhone 13,128GB,B,60800
1356,iPhone 6s Plus,64GB,B,13000
1357,iPhone 12 Pro,512GB,B,70800
1358,iPhone 13 Pro Max,256GB,B,101800
1359,iPhone 6s,128GB,B,10500
1360,iPhone 6s,128GB,B,10500
1361,iPhone 14 Pro Max,256GB,B,130800
1362,iPhone 12 Pro Max,128GB,B,79800
1363,iPhone 6s,128GB,B,10500
1364,iPhone 13 Pro,128GB,B,79500
1365,iPhone 13 Pro Max,128GB,B,92800
1366,iPhone 11 Pro,64GB,B,39800
1367,iPhone 14 Pro,256GB,B,109800
1368,iPhone 11,64GB,B,31800
1369,iPhone 12 Pro Max,256GB,B,83800
1370,iPhone 11 Pro,512GB,B,58500
1371,iPhone 13 mini,128GB,B,54800
1372,iPhone 13 mini,128GB,B,54800
1373,iPhone 6s,64GB,B,11000
1374,iPhone X,256GB,B,26800
1375,iPhone 13 Pro,128GB,B,79500
1376,iPhone 11,256GB,B,42800
1377,iPhone XS,64GB,B,26800
1378,iPhone 13 Pro,128GB,B,79500
1379,iPhone X,256GB,B,26800
1380,iPhone 7 Plus,128GB,B,18000
1381,iPhone 13 Pro,128GB,B,79500
1382,iPhone 12 Pro,128GB,B,57800
1383,iPhone 12 Pro,256GB,B,62800
1384,iPhone 6s Plus,64GB,B,13000
1385,iPhone 13 Pro Max,1TB,B,117800
1386,iPhone XR,64GB,B,24800
1387,iPhone 13 mini,128GB,B,54800
1388,iPhone 14 Plus,128GB,B,85300
1389,iPhone 6s Plus,128GB,B,14000
1390,iPhone XR,64GB,B,24800
1391,iPhone XR,64GB,B,24800
1392,iPhone 13,128GB,B,60800
1393,iPhone SE (第 3 世代),64GB,B,39800
1394,iPhone SE (第 3 世代),64GB,B,39800
1395,iPhone SE (第 3 世代),64GB,B,39800
1396,iPhone SE (第 3 世代),64GB,B,39800
1397,iPhone 13 Pro,128GB,B,79500
1398,iPhone 14,128GB,B,77300
1399,iPhone 13 Pro,1TB,B,108800
1400,iPhone 14 Pro,128GB,B,95800
1401,iPhone 14 Pro,256GB,B,109800
1402,iPhone 13 Pro,128GB,B,79500
1403,iPhone 13 mini,128GB,B,54800
1404,iPhone SE (第 3 世代),64GB,B,39800
1405,iPhone SE (第 3 世代),64GB,B,39800
1406,iPhone 13 mini,128GB,B,54800
1407,iPhone 13 mini,128GB,B,54800
1408,iPhone SE (第 3 世代),64GB,B,39800
1409,iPhone 14 Pro Max,128GB,B,120600
1410,iPhone 13 mini,128GB,B,54800
1411,iPhone 13 Pro,256GB,B,85800
1412,iPhone 13 mini,128GB,B,54800
1413,iPhone 14 Pro,256GB,B,109800
1414,iPhone 13 mini,128GB,B,54800
1415,iPhone 13 mini,128GB,B,54800
1416,iPhone SE (第 3 世代),64GB,B,39800
1417,iPhone XR,64GB,B,24800
1418,iPhone SE (第 3 世代),64GB,B,39800
1419,iPhone SE (第 3 世代),64GB,B,39800
1420,iPhone 13 mini,128GB,B,54800
1421,iPhone SE (第 3 世代),64GB,B,39800
1422,iPhone SE (第 3 世代),64GB,B,39800
1423,iPhone 11,64GB,B,31800
1424,iPhone SE (第 3 世代),64GB,B,39800
1425,iPhone SE (第 3 世代),64GB,B,39800
1426,iPhone 13 Pro,512GB,B,91800
1427,iPhone 14 Pro,128GB,B,95800
1428,iPhone 13,128GB,B,60800
1429,iPhone 13,128GB,B,60800
1430,iPhone 13 Pro,256GB,B,85800
1431,iPhone 11,128GB,B,36800
1432,iPhone 13 Pro,256GB,B,85800
1433,iPhone 14 Pro,512GB,B,116300
1434,iPhone 11,64GB,B,31800
1435,iPhone 13,128GB,B,60800
1436,iPhone 14 Pro,512GB,B,116300
1437,iPhone X,64GB,B,22800
1438,iPhone 7 Plus,128GB,B,18000
1439,iPhone SE (第 3 世代),64GB,B,39800
1440,iPhone SE (第 3 世代),128GB,B,44800
1441,iPhone 13 Pro,256GB,B,85800
1442,iPhone SE (第 3 世代),64GB,B,39800
1443,iPhone SE (第 3 世代),128GB,B,44800
1444,iPhone SE (第 3 世代),128GB,B,44800
1445,iPhone SE (第 3 世代),64GB,B,39800
1446,iPhone SE (第 3 世代),64GB,B,39800
1447,iPhone SE (第 3 世代),64GB,B,39800
1448,iPhone SE (第 3 世代),64GB,B,39800
1449,iPhone 13 Pro Max,512GB,B,110800
1450,iPhone SE (第 3 世代),128GB,B,44800
1451,iPhone 8 Plus,64GB,B,18800
1452,iPhone SE (第 3 世代),128GB,B,44800
1453,iPhone SE (第 3 世代),128GB,B,44800
1454,iPhone SE (第 3 世代),128GB,B,44800
1455,iPhone SE (第 3 世代),64GB,B,39800
1456,iPhone SE (第 3 世代),64GB,B,39800
1457,iPhone SE (第 3 世代),64GB,B,39800
1458,iPhone 13 mini,128GB,B,54800
1459,iPhone 13 mini,128GB,B,54800
1460,iPhone 13 mini,128GB,B,54800
1461,iPhone 13 mini,128GB,B,54800
1462,iPhone 14 Pro,256GB,B,109800
1463,iPhone XS Max,64GB,B,38300
1464,iPhone SE (第 3 世代),128GB,B,44800
1465,iPhone X,256GB,B,26800
1466,iPhone 13 Pro,256GB,B,85800
1467,iPhone 13,128GB,B,60800
1468,iPhone 13 mini,128GB,B,54800
1469,iPhone 13,128GB,B,60800
1470,iPhone XS Max,512GB,B,46300
1471,iPhone 13,128GB,B,60800
1472,iPhone 6s,64GB,B,11000
1473,iPhone 14 Pro,128GB,B,95800
1474,iPhone SE (第 3 世代),128GB,B,44800
1475,iPhone 13 mini,128GB,B,54800
1476,iPhone 13,128GB,B,60800
1477,iPhone SE (第 3 世代),128GB,B,44800
1478,iPhone 13 Pro,256GB,B,85800
1479,iPhone 13 Pro,256GB,B,85800
1480,iPhone 13,128GB,B,60800
1481,iPhone 14 Plus,128GB,B,85300
1482,iPhone SE (第 3 世代),64GB,B,39800
1483,iPhone 13 Pro Max,128GB,B,92800
1484,iPhone 14 Pro,128GB,B,95800
1485,iPhone 13 mini,128GB,B,54800
1486,iPhone 13 mini,128GB,B,54800
1487,iPhone 13 Pro,128GB,B,79500
1488,iPhone 14 Pro,256GB,B,109800
1489,iPhone 13 mini,128GB,B,54800
1490,iPhone 14 Pro,256GB,B,109800
1491,iPhone XS Max,512GB,B,46300
1492,iPhone 13 Pro,256GB,B,85800
1493,iPhone 13,128GB,B,60800
1494,iPhone 7,128GB,B,11500
1495,iPhone 8,64GB,B,14700
1496,iPhone 13 Pro Max,512GB,B,110800
1497,iPhone 13 mini,128GB,B,54800
1498,iPhone 12,64GB,B,39000
1499,iPhone 14,128GB,B,77300
1500,iPhone 14 Pro,256GB,B,109800
1501,iPhone SE (第 3 世代),128GB,B,44800
1502,iPhone 7 Plus,128GB,B,18000
1503,iPhone 14,128GB,B,77300
1504,iPhone 12,128GB,B,45800
1505,iPhone 13 Pro,128GB,B,79500
1506,iPhone 13 Pro,128GB,B,79500
1507,iPhone SE (第 3 世代),64GB,B,39800
1508,iPhone 13 mini,128GB,B,54800
1509,iPhone 14 Pro,256GB,B,109800
1510,iPhone 14 Pro,256GB,B,109800
1511,iPhone XR,64GB,B,24800
1512,iPhone SE (第 3 世代),128GB,B,44800
1513,iPhone 13 mini,128GB,B,54800
1514,iPhone 13 mini,128GB,B,54800
1515,iPhone 8 Plus,64GB,B,18800
1516,iPhone SE (第 3 世代),128GB,B,44800
1517,iPhone 11 Pro,256GB,B,46300
1518,iPhone 14 Pro,512GB,B,116300
1519,iPhone 13 Pro,128GB,B,79500
1520,iPhone 8,64GB,B,14700
1521,iPhone 13 Pro,128GB,B,79500
1522,iPhone 7,128GB,B,11500
1523,iPhone 8,64GB,B,14700
1524,iPhone X,256GB,B,26800
1525,iPhone SE (第 3 世代),64GB,B,39800
1526,iPhone 13 Pro,128GB,B,79500
1527,iPhone 14 Pro,128GB,B,95800
1528,iPhone 14 Pro,256GB,B,109800
1529,iPhone 13 Pro,128GB,B,79500
1530,iPhone SE (第 3 世代),128GB,B,44800
1531,iPhone XS Max,256GB,B,39800
1532,iPhone 8,64GB,B,14700
1533,iPhone 8,64GB,B,14700
1534,iPhone XS Max,256GB,B,39800
1535,iPhone 8 Plus,256GB,B,22800
1536,iPhone XS Max,256GB,B,39800
1537,iPhone 8,64GB,B,14700
1538,iPhone 8,64GB,B,14700
1539,iPhone 8,64GB,B,14700
1540,iPhone 8,64GB,B,14700
1541,iPhone 13,256GB,B,65300
1542,iPhone 14,512GB,B,92800
1543,iPhone 13,512GB,B,75800
1544,iPhone 14,128GB,B,77300
1545,iPhone 13,512GB,B,75800
1546,iPhone 13,128GB,B,60800
1547,iPhone 13,512GB,B,75800
1548,iPhone 13,512GB,B,75800
1549,iPhone 12 Pro,128GB,B,57800
1550,iPhone XS,64GB,B,26800
1551,iPhone 14,128GB,B,77300
1552,iPhone 14 Pro,256GB,B,109800
1553,iPhone SE (第 3 世代),64GB,B,39800
1554,iPhone X,64GB,B,22800
1555,iPhone SE (第 3 世代),64GB,B,39800
1556,iPhone 14 Pro,256GB,B,109800
1557,iPhone SE (第 2 世代),128GB,B,26800
1558,iPhone 11 Pro Max,64GB,B,52300
1559,iPhone X,64GB,B,22800
1560,iPhone 7,32GB,B,9800
1561,iPhone 12 Pro Max,128GB,B,79800
1562,iPhone SE (第 2 世代),128GB,B,26800
1563,iPhone 8 Plus,256GB,B,22800
1564,iPhone XS,64GB,B,26800
1565,iPhone 7,32GB,B,9800
1566,iPhone 8 Plus,256GB,B,22800
1567,iPhone 13,256GB,B,65300
1568,iPhone SE (第 3 世代),128GB,B,44800
1569,iPhone 11,128GB,B,36800
1570,iPhone 13 mini,128GB,B,54800
1571,iPhone SE (第 3 世代),64GB,B,39800
1572,iPhone 12,64GB,B,39000
1573,iPhone SE (第 3 世代),64GB,B,39800
1574,iPhone 14,128GB,B,77300
1575,iPhone 14 Pro,256GB,B,109800
1576,iPhone SE (第 3 世代),64GB,B,39800
1577,iPhone 13,128GB,B,60800
1578,iPhone 13 mini,128GB,B,54800
1579,iPhone 13 mini,128GB,B,54800
1580,iPhone 14 Pro,256GB,B,109800
1581,iPhone SE (第 2 世代),128GB,B,26800
1582,iPhone SE (第 2 世代),128GB,B,26800
1583,iPhone 12 mini,256GB,B,41800
1584,iPhone 13 Pro,256GB,B,85800
1585,iPhone 13 mini,128GB,B,54800
1586,iPhone 11,128GB,B,36800
1587,iPhone 12 mini,64GB,B,32800
1588,iPhone 12 mini,64GB,B,32800
1589,iPhone 12 mini,64GB,B,32800
1590,iPhone 8,256GB,B,19500
1591,iPhone 8,256GB,B,19500
1592,iPhone XS,512GB,B,35300
1593,iPhone XS,256GB,B,30800
1594,iPhone 11,64GB,B,31800
1595,iPhone 12,64GB,B,39000
1596,iPhone 14,128GB,B,77300
1597,iPhone 14 Pro,128GB,B,95800
1598,iPhone 12 Pro,256GB,B,62800
1599,iPhone 6s,64GB,B,11000
1600,iPhone 12 Pro,256GB,B,62800
1601,iPhone 12 Pro,256GB,B,62800
1602,iPhone 13 Pro Max,1TB,B,117800
1603,iPhone 14 Pro,256GB,B,109800
1604,iPhone 7 Plus,128GB,B,18000
1605,iPhone 14 Pro,128GB,B,95800
1606,iPhone 12 Pro,128GB,B,57800
1607,iPhone 11 Pro Max,256GB,B,57300
1608,iPhone 12 Pro,128GB,B,57800
1609,iPhone 14 Pro,256GB,B,109800
1610,iPhone 12 Pro,512GB,B,70800
1611,iPhone 13 Pro Max,256GB,B,101800
1612,iPhone 13 mini,128GB,B,54800
1613,iPhone 12 Pro,128GB,B,57800
1614,iPhone 13 Pro,128GB,B,79500
1615,iPhone 11,128GB,B,36800
1616,iPhone X,64GB,B,22800
1617,iPhone 12 Pro,256GB,B,62800
1618,iPhone 14 Pro,128GB,B,95800
1619,iPhone XR,128GB,B,27800
1620,iPhone 14 Pro,256GB,B,109800
1621,iPhone 11,128GB,B,36800
1622,iPhone XR,64GB,B,24800
1623,iPhone XR,64GB,B,24800
1624,iPhone 13 Pro,512GB,B,91800
1625,iPhone 14 Pro,256GB,B,109800
1626,iPhone 11,64GB,B,31800
1627,iPhone 14 Pro,256GB,B,109800
1628,iPhone 14 Pro Max,1TB,B,147800
1629,iPhone 12 Pro,128GB,B,57800
1630,iPhone 14 Pro,256GB,B,109800
1631,iPhone 13,128GB,B,60800
1632,iPhone 13 mini,128GB,B,54800
1633,iPhone 13 Pro,256GB,B,85800
1634,iPhone 11,64GB,B,31800
1635,iPhone 11,64GB,B,31800
1636,iPhone 11,64GB,B,31800
1637,iPhone 14 Pro,1TB,B,133800
1638,iPhone 14,128GB,B,77300
1639,iPhone 11,64GB,B,31800
1640,iPhone 12,64GB,B,39000
1641,iPhone SE (第 3 世代),64GB,B,39800
1642,iPhone 11,128GB,B,36800
1643,iPhone XR,128GB,B,27800
1644,iPhone 14 Pro,128GB,B,95800
1645,iPhone SE (第 3 世代),64GB,B,39800
1646,iPhone 6s,64GB,B,11000
1647,iPhone 13 Pro,256GB,B,85800
1648,iPhone 13 mini,128GB,B,54800
1649,iPhone 13 mini,128GB,B,54800
1650,iPhone SE (第 3 世代),128GB,B,44800
1651,iPhone SE (第 3 世代),128GB,B,44800
1652,iPhone 11,256GB,B,42800
1653,iPhone 11 Pro,64GB,B,39800
1654,iPhone 13 mini,128GB,B,54800
1655,iPhone SE (第 3 世代),64GB,B,39800
1656,iPhone 13 mini,128GB,B,54800
1657,iPhone 13,128GB,B,60800
1658,iPhone 14 Pro,512GB,B,116300
1659,iPhone SE (第 3 世代),64GB,B,39800
1660,iPhone SE (第 3 世代),64GB,B,39800
1661,iPhone SE (第 3 世代),128GB,B,44800
1662,iPhone 13,128GB,B,60800
1663,iPhone 13 mini,128GB,B,54800
1664,iPhone 13 mini,128GB,B,54800
1665,iPhone 13 mini,256GB,B,62800
1666,iPhone XR,64GB,B,24800
1667,iPhone SE (第 3 世代),128GB,B,44800
1668,iPhone 13 mini,256GB,B,62800
1669,iPhone 13 Pro,1TB,B,108800
1670,iPhone 13,128GB,B,60800
1671,iPhone 13 mini,256GB,B,62800
1672,iPhone 13,128GB,B,60800
1673,iPhone SE (第 3 世代),64GB,B,39800
1674,iPhone 13,128GB,B,60800
1675,iPhone 13 Pro,256GB,B,85800
1676,iPhone 13,128GB,B,60800
1677,iPhone 13,128GB,B,60800
1678,iPhone 13,128GB,B,60800
1679,iPhone 13,128GB,B,60800
1680,iPhone 13,128GB,B,60800
1681,iPhone 13 Pro,256GB,B,85800
1682,iPhone SE (第 3 世代),64GB,B,39800
1683,iPhone 13,128GB,B,60800
1684,iPhone 13,128GB,B,60800
1685,iPhone 13 mini,256GB,B,62800
1686,iPhone 14,512GB,B,92800
1687,iPhone 13,256GB,B,65300
1688,iPhone 14 Pro,512GB,B,116300
1689,iPhone 13,128GB,B,60800
1690,iPhone 14 Pro,256GB,B,109800
1691,iPhone 8 Plus,64GB,B,18800
1692,iPhone 13 mini,128GB,B,54800
1693,iPhone X,64GB,B,22800
1694,iPhone 6s,128GB,B,10500
1695,iPhone 8 Plus,64GB,B,18800
1696,iPhone 13 mini,128GB,B,54800
1697,iPhone SE (第 3 世代),128GB,B,44800
1698,iPhone SE (第 3 世代),64GB,B,39800
1699,iPhone SE (第 3 世代),64GB,B,39800
1700,iPhone SE (第 3 世代),64GB,B,39800
1701,iPhone SE (第 3 世代),128GB,B,44800
1702,iPhone SE (第 3 世代),64GB,B,39800
1703,iPhone SE (第 3 世代),128GB,B,44800
1704,iPhone SE (第 3 世代),128GB,B,44800
1705,iPhone 13 Pro,128GB,B,79500
1706,iPhone SE (第 3 世代),64GB,B,39800
1707,iPhone SE (第 3 世代),128GB,B,44800
1708,iPhone SE (第 3 世代),64GB,B,39800
1709,iPhone 7,128GB,B,11500
1710,iPhone 7 Plus,256GB,B,20500
1711,iPhone 8 Plus,256GB,B,22800
1712,iPhone SE (第 3 世代),128GB,B,44800
1713,iPhone SE (第 3 世代),64GB,B,39800
1714,iPhone SE (第 3 世代),64GB,B,39800
1715,iPhone SE (第 3 世代),64GB,B,39800
1716,iPhone 13 mini,128GB,B,54800
1717,iPhone SE (第 3 世代),64GB,B,39800
1718,iPhone 13 mini,128GB,B,54800
1719,iPhone 13 mini,128GB,B,54800
1720,iPhone SE (第 3 世代),64GB,B,39800
1721,iPhone SE (第 3 世代),64GB,B,39800
1722,iPhone SE (第 3 世代),64GB,B,39800
1723,iPhone 13 Pro,256GB,B,85800
1724,iPhone 13 mini,128GB,B,54800
1725,iPhone 13 mini,128GB,B,54800
1726,iPhone 6s,64GB,B,11000
1727,iPhone 13,128GB,B,60800
1728,iPhone 13,128GB,B,60800
1729,iPhone 14,128GB,B,77300
1730,iPhone 14 Pro,256GB,B,109800
1731,iPhone SE (第 3 世代),64GB,B,39800
1732,iPhone 13,128GB,B,60800
1733,iPhone 14 Pro,256GB,B,109800
1734,iPhone 13 Pro Max,512GB,B,110800
1735,iPhone 11,128GB,B,36800
1736,iPhone 11 Pro Max,64GB,B,52300
1737,iPhone SE (第 3 世代),64GB,B,39800
1738,iPhone 13,512GB,B,75800
1739,iPhone SE (第 3 世代),128GB,B,44800
1740,iPhone 13 mini,128GB,B,54800
1741,iPhone SE (第 3 世代),64GB,B,39800
1742,iPhone 11 Pro,64GB,B,39800
1743,iPhone 13 mini,128GB,B,54800
1744,iPhone 12,128GB,B,45800
1745,iPhone 14 Pro,256GB,B,109800
1746,iPhone 13 mini,128GB,B,54800
1747,iPhone 13,128GB,B,60800
1748,iPhone 13 Pro,128GB,B,79500
1749,iPhone 13 Pro,256GB,B,85800
1750,iPhone 14 Pro,256GB,B,109800
1751,iPhone 13 mini,128GB,B,54800
1752,iPhone XR,64GB,B,24800
1753,iPhone 6s,128GB,B,10500
1754,iPhone XS,256GB,B,30800
1755,iPhone XR,128GB,B,27800
1756,iPhone XR,128GB,B,27800
1757,iPhone 8,64GB,B,14700
1758,iPhone 13 Pro,128GB,B,79500
1759,iPhone SE (第 3 世代),64GB,B,39800
1760,iPhone 14,128GB,B,77300
1761,iPhone 13 Pro,128GB,B,79500
1762,iPhone 13 Pro,256GB,B,85800
1763,iPhone 14 Pro,128GB,B,95800
1764,iPhone 11,64GB,B,31800
1765,iPhone 12 Pro,256GB,B,62800
1766,iPhone 14,128GB,B,77300
1767,iPhone 13,256GB,B,65300
1768,iPhone 13 mini,128GB,B,54800
1769,iPhone 13 Pro,256GB,B,85800
1770,iPhone 13,128GB,B,60800
1771,iPhone 12 Pro,128GB,B,57800
1772,iPhone SE (第 3 世代),64GB,B,39800
1773,iPhone SE (第 3 世代),128GB,B,44800
1774,iPhone SE (第 3 世代),128GB,B,44800
1775,iPhone SE (第 3 世代),128GB,B,44800
1776,iPhone 12 Pro Max,128GB,B,79800
1777,iPhone 8 Plus,64GB,B,18800
1778,iPhone 13,128GB,B,60800
1779,iPhone 13 Pro,256GB,B,85800
1780,iPhone 13 Pro,256GB,B,85800
1781,iPhone 13,128GB,B,60800
1782,iPhone 13 Pro,256GB,B,85800
1783,iPhone 8,64GB,B,14700
1784,iPhone 8,64GB,B,14700
1785,iPhone 11,256GB,B,42800
1786,iPhone 13,256GB,B,65300
1787,iPhone 8,64GB,B,14700
1788,iPhone SE (第 3 世代),64GB,B,39800
1789,iPhone 14,512GB,B,92800
1790,iPhone 12,256GB,B,54800
1791,iPhone 11,64GB,B,31800
1792,iPhone SE (第 3 世代),64GB,B,39800
1793,iPhone 8,64GB,B,14700
1794,iPhone 11 Pro,256GB,B,46300
1795,iPhone SE (第 2 世代),128GB,B,26800
1796,iPhone 11,64GB,B,31800
1797,iPhone 8,64GB,B,14700
1798,iPhone 12,256GB,B,54800
1799,iPhone 13,128GB,B,60800
1800,iPhone 13 Pro,128GB,B,79500
1801,iPhone 7,128GB,B,11500
1802,iPhone XR,64GB,B,24800
1803,iPhone 8,64GB,B,14700
1804,iPhone X,64GB,B,22800
1805,iPhone SE (第 3 世代),64GB,B,39800
1806,iPhone 11,64GB,B,31800
1807,iPhone 13 Pro Max,256GB,B,101800
1808,iPhone 14 Pro,128GB,B,95800
1809,iPhone SE (第 2 世代),128GB,B,26800
1810,iPhone 7,32GB,B,9800
1811,iPhone 13 Pro,128GB,B,79500
1812,iPhone 13 Pro,128GB,B,79500
1813,iPhone 13,128GB,B,60800
1814,iPhone SE (第 3 世代),64GB,B,39800
1815,iPhone SE (第 3 世代),128GB,B,44800
1816,iPhone 11 Pro Max,256GB,B,57300
1817,iPhone SE (第 3 世代),128GB,B,44800
1818,iPhone 13 Pro,256GB,B,85800
1819,iPhone 8,64GB,B,14700
1820,iPhone 13,256GB,B,65300
1821,iPhone 11,64GB,B,31800
1822,iPhone 8 Plus,64GB,B,18800
1823,iPhone 13 mini,128GB,B,54800
1824,iPhone 12 mini,256GB,B,41800
1825,iPhone 12 mini,256GB,B,41800
1826,iPhone SE (第 2 世代),128GB,B,26800
1827,iPhone 14,256GB,B,85800
1828,iPhone 8,64GB,B,14700
1829,iPhone 12 mini,64GB,B,32800
1830,iPhone 12 mini,64GB,B,32800
1831,iPhone 11,64GB,B,31800
1832,iPhone 6s,32GB,B,8900
1833,iPhone 6s,16GB,B,8300
1834,iPhone 8 Plus,64GB,B,18800
1835,iPhone 7,256GB,B,12500
1836,iPhone 7,128GB,B,11500
1837,iPhone 11,64GB,B,31800
1838,iPhone 13 Pro,256GB,B,85800
1839,iPhone 13 Pro,256GB,B,85800
1840,iPhone 12,64GB,B,39000
1841,iPhone 13 Pro Max,128GB,B,92800
1842,iPhone 12 Pro Max,256GB,B,83800
1843,iPhone 6s Plus,64GB,B,13000
1844,iPhone 6s,64GB,B,11000
1845,iPhone 12 Pro Max,256GB,B,83800
1846,iPhone 12 Pro Max,256GB,B,83800
1847,iPhone 12 Pro,256GB,B,62800
1848,iPhone 6s Plus,128GB,B,14000
1849,iPhone 6s,64GB,B,11000
1850,iPhone 12 Pro Max,256GB,B,83800
1851,iPhone 12 Pro Max,128GB,B,79800
1852,iPhone 14 Pro Max,512GB,B,136800
1853,iPhone 14 Pro,128GB,B,95800
1854,iPhone 12 Pro,512GB,B,70800
1855,iPhone 7,128GB,B,11500
1856,iPhone 13 Pro,128GB,B,79500
1857,iPhone 7,128GB,B,11500
1858,iPhone 14 Pro,128GB,B,95800
1859,iPhone XS,64GB,B,26800
1860,iPhone 13 Pro,128GB,B,79500
1861,iPhone 12 Pro,256GB,B,62800
1862,iPhone 13 mini,128GB,B,54800
1863,iPhone 13 Pro Max,256GB,B,101800
1864,iPhone 13 Pro,512GB,B,91800
1865,iPhone 13 mini,128GB,B,54800
1866,iPhone 11 Pro Max,512GB,B,64800
1867,iPhone XR,128GB,B,27800
1868,iPhone XR,128GB,B,27800
1869,iPhone 11 Pro,256GB,B,46300
1870,iPhone 12 Pro,256GB,B,62800
1871,iPhone 12 Pro,256GB,B,62800
1872,iPhone 11,64GB,B,31800
1873,iPhone SE (第 3 世代),64GB,B,39800
1874,iPhone 13 Pro,128GB,B,79500
1875,iPhone SE (第 3 世代),64GB,B,39800
1876,iPhone 13 Pro,128GB,B,79500
